time [s],device [m],reference [m],error [m]
0.1,0.31,0.33,0.020000000000000018
0.2,0.64,0.67,0.030000000000000027
0.3,1.05,1.04,0.010000000000000009
0.4,1.45,1.5,0.050000000000000044
0.5,1.88,1.85,0.029999999999999805
0.6,2.32,2.36,0.040000000000000036
0.7,2.92,2.89,0.029999999999999805
0.8,3.48,3.37,0.10999999999999988
0.9,3.99,3.95,0.040000000000000036
1.0,4.5,4.47,0.03000000000000025
1.1,5.22,5.07,0.14999999999999947
1.2,5.79,5.68,0.11000000000000032
1.3,6.48,6.31,0.17000000000000082
1.4,7.07,6.94,0.1299999999999999
1.5,7.82,7.59,0.23000000000000043
1.6,8.54,8.3,0.23999999999999844
1.7,9.2,8.99,0.20999999999999908
1.8,9.92,9.7,0.22000000000000064
